name,name_for_emails,site,subtypes,category,type,email_1,phone
Petit Hotel,Petit Hotel,https://ptithotel.com/,"Hotel, Bed & breakfast",hotels,Hotel,info@ptithotel.com,+39 0584 619374
Villa Capitorsola,Villa Capitorsola,http://www.villacapitorsola.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villacapitorsola.it,+39 0565 933546
Hotel Villa Wanda,Hotel Villa Wanda,http://www.hotelvillawanda.com/,Hotel,hotels,Hotel,info@hotelvillawanda.com,+39 0565 940025
Hotel Antares,Hotel Antares,http://www.elbahotelantares.it/,"Hotel, Lido, Restaurant",hotels,Hotel,info@elbahotelantares.it,+39 0565 940131
Il Rifugio Dell'aquila,Il Rifugio Dellaquila,http://www.ilrifugiodellaquila.com/,"Hotel, Bed & breakfast, Restaurant",hotels,Hotel,info@ilrifugiodellaquila.com,+39 0522 895011
La Casa di Zefiro,La Casa Di Zefiro,http://www.lacasadizefiro.it/,"Bed & breakfast, Farmstay",Bed & Breakfast,Bed & breakfast,info@lacasadizefiro.it,+39 339 202 0413
Villa Pia,Villa Pia,http://www.villapia.com/,Hotel,hotels,Hotel,villapia@villapia.com,+39 075 850 2027
Hotel Castello di Reschio,Hotel Castello Di Reschio,https://www.reschio.com/,"Hotel, Resort hotel",hotels,Hotel,info@reschio.com,+39 075 844362
Casa Accogliente Livorno,Casa Accogliente Livorno,https://www.accoglientecasalivorno.it/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,pelagatti.mariangela@gmail.com,+39 333 409 8986
Villa Liburnia Bed and Breakfast,Villa Liburnia Bed And Breakfast,http://www.villa-liburnia.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,villa.liburnia@yahoo.it,+39 349 266 0433
Gran Duca Hotel,Gran Duca Hotel,http://www.granduca.it/,Hotel,hotels,Hotel,ristorante@granduca.it,+39 0586 891024
B&B Metropolis,B And B Metropolis,http://www.bblivorno.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bblivorno.com,+39 329 956 2740
AFFITTACAMERE IL PORTO,Affittacamere Il Porto,http://www.affittacamereilporto.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,affittacamereilporto2016@gmail.com,+39 349 630 8003
Hotel Rex,Hotel Rex,https://www.hotelrex.it/,"Hotel, Extended stay hotel, Wellness hotel",hotels,Hotel,info@hotelrex.it,+39 0586 580400
Hotel Al Teatro,Hotel Al Teatro,http://www.hotelalteatro.it/,Hotel,hotels,Hotel,info@hotelalteatro.it,+39 0586 898705
B&B Ricci,B And B Ricci,http://www.bbricci.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bbricci.it,+39 347 732 9548
"Casa Mascagni, Art Guest House Livorno",Casa Mascagni Art Guest House Livorno,http://www.casamascagni.it/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,casamascagnilivorno@gmail.com,+39 347 003 8643
Hotiday Hotel Livorno,Hotiday Hotel Livorno,https://hotiday.com/hotels/hotiday-hotel-livorno,Hotel,hotels,Hotel,info@hotiday.it,+39 02 8294 1859
Villa Eugenia,Villa Eugenia,http://www.bbvillaeugenia.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,isabella@bbvillaeugenia.com,+39 338 724 3893
B & B Butterfly,B And B Butterfly,http://www.butterflylivorno.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@butterflylivorno.it,+39 348 845 2502
Hotel Universal,Hotel Universal,https://hoteluniversal.eu/,Hotel,hotels,Hotel,info@livornohoteluniversal.com,+39 0586 500327
VILLA ANSELMI,Villa Anselmi,https://www.villaanselmi-arteindiretta.it/index.htm,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lavilladeidestiniincrociati.it,+39 340 488 5474
Agave in Città,Agave In Città,https://www.agaveflowers.it/location/agave-in-citta/,Hotel,hotels,Hotel,hello@agaveflowers.it,+39 0586 090609
Marilia Tuscany Suites Apartments,Marilia Tuscany Suites Apartments,http://www.suitelivorno.it/,"Apartment complex, Hotel, Non smoking holiday home",Appartamenti,Apartment complex,info@suitelivorno.it,+39 0586 502478
Hotel Ariston,Hotel Ariston,http://www.hotelaristonlivorno.com/,Hotel,hotels,Hotel,info@hotelaristonlivorno.com,+39 0586 880149
Hotel Europa Parking,Hotel Europa Parking,http://www.hoteleuropalivorno.it/,Hotel,hotels,Hotel,info@hoteleuropalivorno.it,+39 0586 888581
Hotel Boston,Hotel Boston,https://www.bostonh.it/,"Hotel, Lodging",hotels,Hotel,info@bostonh.it,+39 0586 882333
Hotel Stazione Livorno,Hotel Stazione Livorno,http://www.hotelstazionelivorno.it/,Hotel,hotels,Hotel,info@hotelstazionelivorno.it,+39 0586 429466
Hotel Navy,Hotel Navy,http://www.hotelnavy.it/,Hotel,hotels,Hotel,piccolonavy@hotelnavy.it,+39 0586 802077
Albergo Frenzio Bar/Ristorante,Albergo Frenzio Bar/Ristorante,https://www.bebristoranteaffittacamerefrienzo.it/,"Hotel, Bar, Restaurant",hotels,Hotel,residencefrenzio@aol.it,+39 0586 943661
B&B Parco del Mulino,B And B Parco Del Mulino,https://www.parcodelmulino.it/parco-bb-new/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@parcodelmulino.it,+39 334 596 9241
Parking Hotel Giardino,Parking Hotel Giardino,https://www.parkinghotelgiardino.com/,Hotel,hotels,Hotel,info@parkinghotelgiardino.com,+39 0586 806330
Leda B&B,Leda B And B,http://ledabnb.eatbu.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,ledabnblivorno@gmail.com,+39 0586 014378
Hotel Touring,Hotel Touring,https://www.hoteltouringlivorno.it/en/,"Hotel, Lodging",hotels,Hotel,info@hoteltouringlivorno.it,+39 0586 898035
B & B La Torretta,B And B La Torretta,http://www.latorrettabedandbreakfast.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@latorrettabedandbreakfast.com,+39 391 184 5258
Grand Hotel Palazzo - Livorno,Grand Hotel Palazzo Livorno,https://www.ghpalazzo.it/,"Hotel, Conference center, Convention center, Event management company",hotels,Hotel,ricevimento@ghpalazzo.it,+39 0586 260836
Hotel Città,Hotel Città,https://www.hotelcitta.it/,Hotel,hotels,Hotel,info@hotelcitta.it,+39 0586 839590
Miramare - Village Apartments Camping,Miramare Village Apartments Camping,https://www.miramare.me/,"Camping cabin, Children's camp, Convenience store, Extended stay hotel, Holiday park, Italian restaurant, Lido, Swimming basin, Holiday apartment",Villaggio di casette da campeggio,Camping cabin,info@miramare.me,+39 0586 580402
Hotel Amico Fritz,Hotel Amico Fritz,http://www.alberghionline.biz/hotel-toscana/livorno/LAMICOFRITZHOTEL.php,Hotel,hotels,Hotel,info@alberghionline.biz,+39 0586 401149
Da Linda,Da Linda,https://www.dalindalivorno.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@dalindalivorno.it,+39 333 122 4728
PARADISE INN,Paradise Inn,https://www.facebook.com/BB-Paradise-Inn-105957324539375/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,paradiseinnlivorno@gmail.com,+39 380 863 1848
MAX Hotel Livorno,Max Hotel Livorno,http://www.maxhotels.it/,"Hotel, Restaurant, Wellness hotel",hotels,Hotel,livorno@maxhotels.it,+39 0586 426722
Hotel Cavour Livorno,Hotel Cavour Livorno,https://cavourselfcheckin.it/,Hotel,hotels,Hotel,cavourlivorno@gmail.com,+39 0586 194 6338
CASAGRANDE - GUEST HOUSE,Casagrande Guest House,https://www.casagrandelivorno.it/,"Bed & breakfast, Hotel, Non smoking holiday home",Bed & Breakfast,Bed & breakfast,casagrande@casagrandelivorno.it,+39 347 888 4824
Hotel Ristorante Nappini,Hotel Ristorante Nappini,http://www.hotelnappini.it/,"Hotel, Restaurant",hotels,Hotel,nappo@iol.it,+39 0534 51011
Borgo Pianello,Borgo Pianello,http://borgopianello.eu/,"Resort hotel, Culinary school, Vineyard, Wedding venue",hotels,Resort hotel,info@borgopianello.eu,+39 333 229 7697
B&B Le Frascare,B And B Le Frascare,http://www.lefrascare.it/,"Bed & breakfast, Lodging",Bed & Breakfast,Bed & breakfast,info@lefrascare.it,+39 335 834 9521
Agriturismo Cà Gabrielli,Agriturismo Cà Gabrielli,http://www.agriturismo-cagabrielli.it/,"Farmstay, Agricultural production, Electric vehicle charging station, Extended stay hotel, Farm household tour, Farm school, Hotel, Ranch, Restaurant, Wedding venue",attractions,Farmstay,cagabrielli@libero.it,+39 0534 54049
Residence Villa Fedora,Residence Villa Fedora,https://www.villafedora.it/,"Extended stay hotel, Holiday apartment",hotels,Extended stay hotel,info@villafedora.it,+39 320 057 9203
Albergo Piccolo Hotel Tanamalia,Albergo Piccolo Hotel Tanamalia,http://www.piccolohoteltanamalia.it/,"Hotel, Bar, Pizza restaurant, Restaurant",hotels,Hotel,info@piccolohoteltanamalia.it,+39 0534 51107
Hotel Montepizzo,Hotel Montepizzo,http://www.hotelmontepizzo.it/,Hotel,hotels,Hotel,info@hotelmontepizzo.it,+39 0534 51055
Hotel Il Fondaccio,Hotel Il Fondaccio,https://www.hotelilfondaccio.com/,Hotel,hotels,Hotel,info@hotelilfondaccio.it,+39 0534 51180
Hotel Miravalle 2000,Hotel Miravalle 2000,http://www.hotelmiravalle2000.it/,Hotel,hotels,Hotel,info@hotelmiravalle2000.it,+39 0534 51044
Hotel Appennino,Hotel Appennino,http://www.appenninohotel.it/,"Hotel, Restaurant",hotels,Hotel,hotelappennino@libero.it,+39 0534 53107
Cà di Lucca,Cà Di Lucca,http://www.cadilucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info.cadilucca@gmail.com,+39 331 475 5489
Guadalupe Tuscany Resort,Guadalupe Tuscany Resort,http://www.guadaluperesort.it/?utm_source=GoogleMyBusiness,"Resort hotel, Extended stay hotel, Health spa, Hotel, Massage spa, Restaurant, Spa, Holiday apartment, Wedding venue",hotels,Resort hotel,info@guadaluperesort.it,+39 0564 329258
Tuscany house of Artist,Tuscany House Of Artist,http://www.tuscanyhouseofartist.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@tuscanyhouseofartist.com,+39 339 431 7556
Hotel Villa Belvedere,Hotel Villa Belvedere,http://www.villabelvedere.com/,Hotel,hotels,Hotel,email@villabelvedere.com,+39 0577 920966
Villa Barberino,Villa Barberino,http://www.villabarberino.it/,"Indoor lodging, Hotel",Alloggi al coperto,Indoor lodging,info@villabarberino.it,+39 055 961813
Hotel Da Giacomino,Hotel Da Giacomino,http://www.hoteldagiacomino.it/,Hotel,hotels,Hotel,info@hoteldagiacomino.it,+39 0565 908010
Castello di Tornano,Castello Di Tornano,http://www.castelloditornano.it/%3Futm_source%3Dgbp%26utm_medium%3Dorganic,"Castle, Hotel, Restaurant, Winery",Castello,Castle,info@castelloditornano.it,+39 0577 746067
Agriturismo Pian Dei Pini,Agriturismo Pian Dei Pini,https://www.piandeipini.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,piandeipini@gmail.com,+39 0564 589937
Eremo della Maddalena,Eremo Della Maddalena,http://www.lamaddalenacinqueterre.it/,"Wedding venue, Bed & breakfast, Holiday apartment",Location per matrimoni,Wedding venue,info@lamaddalenacinqueterre.it,+39 335 785 1598
Casale Giulia,Casale Giulia,http://www.casalegiulia.it/,"Indoor lodging, Extended stay hotel, Lodge",Alloggi al coperto,Indoor lodging,info@casalegiulia.it,+39 0588 85368
Molenda B&B,Molenda B And B,http://www.molenda.it/,"Bed & breakfast, Indoor lodging, Lodging, Restaurant",Bed & Breakfast,Bed & breakfast,info@molenda.it,+39 393 920 2298
Hotel Il Crinale,Hotel Il Crinale,http://www.ilcrinalehotel.com/,Hotel,hotels,Hotel,biblioteca@comune.grizzanamorandi.bo.it,+39 051 913681
Palazzo Loup,Palazzo Loup,http://www.palazzo-loup.it/,"Hotel, Banquet hall, Bar, Restaurant, Wellness center",hotels,Hotel,info@palazzo-loup.it,+39 051 654 4040
La Tana degli Scoiattoli,La Tana Degli Scoiattoli,http://www.tsloiano.altervista.org/,"Bed & breakfast, Apartment complex",Bed & Breakfast,Bed & breakfast,melegamassimo@gmail.com,+39 340 239 2938
Agriturismo La Noce di Francesca,Agriturismo La Noce Di Francesca,http://www.lanocedifrancesca.com/,"Farmstay, Bed & breakfast, Extended stay hotel, Holiday home, Hotel, Italian restaurant, Northern Italian restaurant, Restaurant, Swimming basin, Swimming pool",Agriturismo,Farmstay,info@lanocedifrancesca.com,+39 335 543 0126
VillaNerone B&B,Villanerone B And B,https://www.villanerone.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villanerone.com,+39 328 565 3332
B&B Ospiti del Borgo,B And B Ospiti Del Borgo,https://www.ospitidelborgo.it/,"Bed & breakfast, Holiday home, Hotel",Bed & Breakfast,Bed & breakfast,info@ospitidelborgo.it,+39 393 435 5003
Il Nido d'Amore - Lorenzana Colombaie,Il Nido Damore Lorenzana Colombaie,https://www.ilnidodamore.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,romadamore@ilnidodamore.it,+39 050 662534
Il Borro,Il Borro,https://www.ilborro.it/?utm_source=GB,"Hotel, Bistro, Heliport, Horseback riding service, Restaurant, Spa, Wedding venue, Wine cellar",hotels,Hotel,simone@ilborro.it,+39 055 977053
Dimora Casa Eugenia,Dimora Casa Eugenia,https://dimoracasaeugenia.com/,Hotel,hotels,Hotel,info@dimoracasaeugenia.com,+39 055 917 1257
Podere Casarotta - Villa & Holiday Apartments,Podere Casarotta Villa And Holiday Apartments,http://www.poderecasarotta.com/,"Hotel, Farmstay, Holiday home, Holiday apartment, Villa",hotels,Hotel,podere.casarotta@gmail.com,+39 347 608 4901
Residence La Ferriera,Residence La Ferriera,http://www.laferriera.com/,"Extended stay hotel, Hotel, Restaurant, Holiday apartment",hotels,Extended stay hotel,info@laferriera.com,+39 055 917 4006
Agriturismo Cocomeraio,Agriturismo Cocomeraio,http://www.cocomeraiotoscana.com/,"Farmstay, Bed & breakfast, Farm",Agriturismo,Farmstay,bazzechi.cocomeraio@tiscali.it,+39 347 600 2781
Relais Villa Belpoggio - Residenza d'Epoca Tuscany,Relais Villa Belpoggio Residenza Depoca Tuscany,http://www.villabelpoggio.it/,"Hotel, Extended stay hotel",hotels,Hotel,info@villabelpoggio.it,+39 055 969 4411
B&B La Bella Lucca,B And B La Bella Lucca,http://labellalucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@labellalucca.com,+39 0583 329456
Il Ponte,Il Ponte,http://www.affittacamereilponte.com/,"Hotel, Bed & breakfast, Extended stay hotel, Farmstay, Holiday home, Lodge, Serviced accommodation, Holiday apartment",hotels,Hotel,receptionilpontelucca@gmail.com,+39 349 612 8128
Palazzo Tucci,Palazzo Tucci,http://www.palazzotucci.com/,"Bed & breakfast, Hotel",Bed & Breakfast,Bed & breakfast,info@palazzotucci.com,+39 0583 464279
Casa Biancalana,Casa Biancalana,https://www.casabiancalana.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casabiancalana.it,+39 339 411 6890
Dimora San Lazzaro B&B,Dimora San Lazzaro B And B,http://dimorasanlazzaro.it/#eventi,Bed & breakfast,Bed & breakfast,Bed & breakfast,info@dimorasanlazzaro.it,+39 348 930 7536
Villa Agnese B&B,Villa Agnese B And B,http://www.villaagnesesuites.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villaagnesesuites.it,+39 329 962 4794
Palazzo Rocchi Hotel,Palazzo Rocchi Hotel,http://www.palazzorocchi.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@palazzorocchi.it,+39 0583 467479
Appartamento Lucca mura la Rondine,Appartamento Lucca Mura La Rondine,http://www.larondinepisa.it/,Hotel,hotels,Hotel,info@larondinepisa.it,+39 339 858 5561
Guest House Villa In Campora,Guest House Villa In Campora,http://www.ilgranaiolucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,ristoranteilgranaio@live.it,+39 0583 391146
Corte Meraviglia Relais - Lucca,Corte Meraviglia Relais Lucca,http://www.cortemeraviglia-lucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,cortemeraviglia.lucca@gmail.com,+39 339 778 6914
Il Linchetto B&B,Il Linchetto B And B,https://www.linchettobedandbreakfast.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@linchettobedandbreakfast.com,+39 0583 998449
The Tuscanian Hotel,The Tuscanian Hotel,http://www.thetuscanian.com/,"Hotel, Lounge, Restaurant",hotels,Hotel,info@thetuscanian.com,+39 0583 174 7674
B&B Angelini,B And B Angelini,http://www.bbangelini.net/,"Indoor lodging, Bed & breakfast",Alloggi al coperto,Indoor lodging,info@bbangelini.net,+39 328 052 1794
Affittacamere La Camelia,Affittacamere La Camelia,http://www.affittacamerelacamelia.com/,"Indoor lodging, Hotel",Alloggi al coperto,Indoor lodging,info@affittacamerelacamelia.com,+39 339 484 0178
La Terrazza Del Fotografo,La Terrazza Del Fotografo,https://www.laterrazzadelfotografo.com/,"Bed & breakfast, Apartment complex",Bed & Breakfast,Bed & breakfast,info@laterrazzadelfotografo.com,+39 342 000 2121
Giada Palace - Pool & Resort,Giada Palace Pool And Resort,http://www.giadapalace.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@giadapalacelucca.com,+39 375 621 8704
Inside the Wall,Inside The Wall,http://www.insidethewall.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@insidethewall.it,+39 350 969 4222
Vacanze dai Parenti - Lucca,Vacanze Dai Parenti Lucca,http://www.vacanzedaiparenti.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@vacanzedaiparenti.com,+39 328 041 1923
B&B Come a Casa Casa Vacanze,B And B Come A Casa Casa Vacanze,http://www.bedandbreakfastcomeacasa.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,luisa.gianni64@gmail.com,+39 328 765 1420
Bed and Breakfast Casa San Jacopo,Bed And Breakfast Casa San Jacopo,http://www.casasanjacopo.wordpress.com/,Bed & breakfast,Bed & breakfast,Bed & breakfast,info@casasanjacopo.it,+39 351 741 3220
Antica Residenza Dell'Angelo,Antica Residenza Dellangelo,https://www.anticaresidenzadellangelo.com/,"Indoor lodging, Hotel",Alloggi al coperto,Indoor lodging,info@anticaresidenzadellangelo.com,+39 0583 954255
B & B La Colonna,B And B La Colonna,http://www.lacolonnalucca.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,lacolonnalucca@gmail.com,+39 347 520 0842
Antica Residenza Santa Chiara,Antica Residenza Santa Chiara,http://www.anticaresidenzasantachiara.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@anticaresidenzasantachiara.com,+39 0583 491349
Buonanotte,Buonanotte,http://www.affittacamerebuonanotte.it/,Hotel,hotels,Hotel,info@affittacamerebuonanotte.it,+39 331 274 9412
Il Cortile di Elisa,Il Cortile Di Elisa,http://www.ilcortiledielisa.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@ilcortiledielisa.com,+39 388 401 4694
At Home Bed and Breakfast,At Home Bed And Breakfast,http://www.athomelucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,booking@athomelucca.com,+39 334 798 8027
B and B Blu Studio,B And B Blu Studio,http://www.bnbluccablustudio.com/,Hotel,hotels,Hotel,cecchiniart@inwind.it,+39 328 153 8013
Al Cardinale,Al Cardinale,http://www.alcardinalelucca.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,alcardinalelucca@gmail.com,+39 339 778 6914
Albergo Celide,Albergo Celide,https://www.albergocelide.it/,Hotel,hotels,Hotel,info@albergocelide.it,+39 0583 954106
Al Porto di Lucca B & B,Al Porto Di Lucca B And B,http://www.alportodilucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@alportodilucca.com,+39 0583 53516
"A Palazzo Busdraghi, Residenza d'Epoca",A Palazzo Busdraghi Residenza Depoca,https://apalazzobusdraghi.it/it/,Hotel,hotels,Hotel,info@apalazzobusdraghi.it,+39 0583 950856
La Stanza in Villa,La Stanza In Villa,https://tinyurl.com/469edmwx,Hotel,hotels,Hotel,sidd@tinyurl.com,+39 334 298 8328
Micheli Suite Anfiteatro Square,Micheli Suite Anfiteatro Square,http://www.michelisuiteanfiteatrosquare.com/,Hotel,hotels,Hotel,poderemicheli@gmail.com,+39 327 881 3299
Terrarossa,Terrarossa,http://www.terrarossalucca.com/,Hotel,hotels,Hotel,info@terrarossalucca.com,+39 328 724 3651
B&B Il Casale di Villa Rossi,B And B Il Casale Di Villa Rossi,https://www.ilcasaledivillarossi.it/,"Bed & breakfast, Indoor lodging",Bed & Breakfast,Bed & breakfast,ilcasaledivillarossi@gmail.com,+39 338 478 6110
Il Pozzo di Santa Zita,Il Pozzo Di Santa Zita,http://ilpozzodisantazita.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@ilpozzodisantazita.it,+39 0583 413033
Hotel Villa Cheli,Hotel Villa Cheli,https://www.villacheli.it/,Hotel,hotels,Hotel,info@villacheli.it,+39 0583 379799
B&b Caterina,B And B Caterina,http://bbcaterinalucca.it/,Bed & breakfast,Bed & breakfast,Bed & breakfast,bbcaterina@alice.it,+39 333 127 9797
Corte Toro,Corte Toro,http://www.cortetoro.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@cortetoro.it,+39 0583 312941
Hotel Ilaria And Residenza Dell'Alba,Hotel Ilaria And Residenza Dellalba,https://www.hotelilaria.com/,Hotel,hotels,Hotel,info@hotelilaria.com,+39 0583 47615
Hotel Napoleon,Hotel Napoleon,https://www.hotelnapoleonlucca.com/,Hotel,hotels,Hotel,info@hotelnapoleonlucca.com,+39 0583 316516
Hotel Diana partner di San Martino & Diana Hotel Lucca,Hotel Diana Partner Di San Martino And Diana Hotel Lucca,https://www.albergosanmartino.it/hoteldiana/,Hotel,hotels,Hotel,info@albergosanmartino.it,+39 0583 492202
Villa La Preziosa,Villa La Preziosa,https://www.villalapreziosa.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villalapreziosa.com,+39 0583 924382
Agriturismo Ai Linchi,Agriturismo Ai Linchi,http://www.ailinchi.it/,"Farmstay, Bed & breakfast, Camping farm, Holiday home, RV park",Agriturismo,Farmstay,info@ailinchi.it,+39 353 434 0582
Rooms Villa Delia,Rooms Villa Delia,http://www.affittacamerevilladelia.it/,"Indoor lodging, Bed & breakfast",Alloggi al coperto,Indoor lodging,info@affittacamerevilladelia.it,+39 0583 990058
Chalet Lucca,Chalet Lucca,http://www.chaletlucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,admin@chaletlucca.com,+39 375 551 2669
Castello dei Templari,Castello Dei Templari,https://www.cortedeitemplari.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@cortedeitemplari.it,+39 345 507 7446
Villa La Tuia,Villa La Tuia,https://www.villalatuia.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@villalatuia.it,+39 0583 989631
Relais San Lorenzo,Relais San Lorenzo,http://www.sanlorenzorelais.it/,"Bed & breakfast, Lodge",Bed & Breakfast,Bed & breakfast,info@sanlorenzorelais.it,+39 0583 471844
Hotel San Marco,Hotel San Marco,http://www.hotelsanmarcolucca.it/,Hotel,hotels,Hotel,sanmarcolucca@pec.it,+39 0583 495010
Villa Ricci Suites Lucca,Villa Ricci Suites Lucca,https://www.villariccilucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villariccilucca.com,+39 348 400 6006
San Pierino Rooms,San Pierino Rooms,https://www.sanpierinorooms.com/it/home-page/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,sanpierinorooms@gmail.com,+39 328 740 8412
B&B Arena di Lucca,B And B Arena Di Lucca,http://www.bbarenalucca.com/,"Bed & breakfast, Serviced accommodation, Holiday apartment",Bed & breakfast,Bed & breakfast,info@bbarenalucca.com,+39 340 383 4482
TangoHotel,Tangohotel,http://www.tangohotellucca.com/,Hotel,hotels,Hotel,info@tangohotellucca.com,+39 348 060 2563
B&B Antico Cancello,B And B Antico Cancello,https://cortecelli.it/bb/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,reservation@cortecelli.it,+39 342 689 1012
Villa Buonvisi,Villa Buonvisi,http://www.villabuonvisi.com/,"Bed & breakfast, Wedding venue",Bed & breakfast,Bed & breakfast,info@villabuonvisi.se,
La Locanda Francigena,La Locanda Francigena,http://www.lalocandafrancigena.it/,"Bed & breakfast, Hotel",Bed & Breakfast,Bed & breakfast,reception@lalocandafrancigena.it,+39 347 589 1950
Hotel Villa Volpi,Hotel Villa Volpi,http://www.hotelvillavolpi.com/,"Hotel, Apartment building, Conference center, Convention center, Public swimming pool",hotels,Hotel,info@hotelvillavolpi.com,+39 0583 406137
Chill in Tuscany,Chill In Tuscany,https://www.chillintuscany.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@chillintuscany.com,+39 349 854 6941
Pergola House,Pergola House,http://www.pergolahouse.net/,Hotel,hotels,Hotel,info@pergolahouse.net,+39 0583 197 9376
B&B La Bella Addormentata e il Principe Calaf,B And B La Bella Addormentata E Il Principe Calaf,http://www.principecalaf.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@principecalaf.com,+39 347 986 9642
Guest House Santa Giustina,Guest House Santa Giustina,https://www.guesthousesantagiustina.it/,Hotel,hotels,Hotel,info@guesthousesantagiustina.it,+39 333 535 3540
B&B Al Tostino,B And B Al Tostino,http://www.altostino.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,apartment@altostino.it,+39 328 823 4138
My GuestHouse,My Guesthouse,http://www.myguesthouse.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@myguesthouse.it,+39 340 121 1856
BINARIO 5,Binario 5,http://www.binariocinque.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,pkudadeni@yahoo.com,+39 338 599 4257
Hotel Rex,Hotel Rex,http://www.hotelrexlucca.com/,Hotel,hotels,Hotel,info@hotelrexlucca.com,+39 0583 955443
B & B La Romea,B And B La Romea,https://www.laromea.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@laromea.com,+39 0583 464175
Albergo alla Corte degli Angeli,Albergo Alla Corte Degli Angeli,http://www.allacortedegliangeli.com/,Hotel,hotels,Hotel,info@allacortedegliangeli.com,+39 0583 469204
Villa Fedora Luxury,Villa Fedora Luxury,http://www.villafedoraluxury.com/,"Bed & breakfast, Hotel",Bed & Breakfast,Bed & breakfast,info@villafedoraluxury.com,+39 347 800 1448
Home Sweet Home - Lucca,Home Sweet Home Lucca,https://affittacamere-lucca.com/it/home-sweet-home/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,tartansrl@gmail.com,+39 347 596 1142
San Luca Palace Hotel,San Luca Palace Hotel,https://www.sanlucapalace.it/,Hotel,hotels,Hotel,info@sanlucapalace.com,+39 0583 317446
Ospitalità Rurale l’ Uccelliera,Ospitalità Rurale L’ Uccelliera,http://www.ospitalitaruraleuccelliera.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@ospitalitaruraleuccelliera.it,+39 338 299 4156
Villa Rinascimento,Villa Rinascimento,http://www.villarinascimento.it/it/,Hotel,hotels,Hotel,info@villarinascimento.it,+39 0583 378292
LUCUS Exclusive Bed and Breakfast,Lucus Exclusive Bed And Breakfast,http://www.lucuslucca.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lucuslucca.com,+39 366 128 7696
La Maison de Jardin,La Maison De Jardin,https://lamaisondejardin.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,lamaisondejardinlucca@gmail.com,
Casale I Tigli,Casale I Tigli,https://casaleitigli.wordpress.com/,"Bed & breakfast, Hotel",Bed & Breakfast,Bed & breakfast,casaleitigli@gmail.com,+39 340 915 4461
